Title,Abstract,Authors,Year,Venue,DOI,Cited by,Open Access, URL,Keywords,Language,Numpages,Actions
"Towards transdisciplinary design research as a delicate dance","ABSTRACT This study explores how design research encompassing multiple disciplines is accomplished. Such work is highly challenging. Even if information systems (IS) research generally shows an interest in reflecting on its research practice and celebrates work involving multiple disciplines as an ideal and a necessity, sufficient attention has not been paid to the challenges of such an approach or their resolution. This study introduces a situated perspective on design research entailing multiple disciplines. “Doing design research” is approached as a complex and skilful interactional accomplishment in situ with extensive and ongoing identity and agency articulation and negotiation. The study demonstrates that “doing design research” and “being a design researcher” with multiple disciplines involve a delicate dance. The study renews our discourse on design research and enables serious reconsideration and development of IS research methods education. The research also has implications for digitally augmenting research.","N. Iivari; Leena Kuure","2024","European Journal of Information Systems","10.1080/0960085x.2024.2314654","3","-","https://doi.org/10.1080/0960085x.2024.2314654","","-","-","Include"
"Design and Implementation of an IIoT Driven Information System: A Case Study","Information systems are critical for companies since they offer quick and easy access to complex and significant data in a structured manner to make informed and effective business decisions. Hence, the objective of this study is to conceptualize and implement an innovative information system in the case study organization. The study identified the requirements for Organizing Vision Theory (OVT) and developed architecture based on Organizational Information Processing Theory (OIPT). This architecture is designed and developed using the Industrial Internet of Things (IIoT) to support a self-organizing vision and enhanced information processing. The study’s contribution lies in developing and executing an integrative architecture of IIoT-driven information systems from the lenses of OVT and OIPT. Further, this study contributes by mapping OVT elements (such as transparency, continuity, and coherence) and OIPT elements (information processing needs and capabilities) to drive value and knowledge through a robust architecture of IIoT-driven information systems. The study also highlights the contribution of IIoT-based information systems to a new knowledge system, facilitating better decision-making by professionals.","Shivam Gupta; S. Modgil; Bharat Bhushan; U. Sivarajah; Santanu Banerjee","2023","Information Systems Frontiers","10.1007/s10796-023-10451-0","11","-","https://doi.org/10.1007/s10796-023-10451-0","","-","-","Include"
"Digital innovation and transformation capabilities in a large company","In a dynamic and quickly changing world, digital innovation and transformation can help enhancing organizational efficiency and have competitive advantage. In addition, the digital innovation and transformation can facilitate the development of a growth‐oriented culture of workforce. Therefore, this study aims at developing the digital innovation and transformation capabilities at large organization. The study uses a four‐layered process for driving the digital innovation and transformation in the case organization. The study positions the digital innovation and transformation mechanism through the lens of the dynamic capability view and institutional theories. The findings indicate the emergence of digital champions as change agents, a digital council as a monitoring channel, a digital core team as technological enablers and reverse mentoring as an innovative cultural dimension of change facilitating dynamic capabilities of the organization. In terms of institutional pressures, coercive and mimetic pressures emerged as major contributors to the advancement of the digital skill set and digital mindset of the experienced workforce especially, supported by Hofstede's cultural dimensions. Study further delineates the insights for practice, theory and policy. To this end, the study showcases the future scope of work at the case company, since it is an ongoing project on digital innovation and transformation to make organization and related infrastructure resilient, digital and innovative.","Shivam Gupta; S. Modgil; Bharat Bhushan; Sachin S. Kamble; Juhi Mishra","2023","Expert Syst. J. Knowl. Eng.","10.1111/exsy.13452","9","-","https://doi.org/10.1111/exsy.13452","","-","-","Include"
"From Big Data Technologies to Big Data Benefits","In this article, we present an approach used in Vestas Wind Systems A/S for managing the realization of potential benefits from big data technologies. This approach involves dependency networks representing how different domains in a big data analytics project support business benefits.","M. Jensen; P. Nielsen; John Stouby Persson","2023","Computer","10.1109/mc.2022.3206032","3","-","https://doi.org/10.1109/mc.2022.3206032","","-","-","Include"
"Measuring benefits from big data analytics projects: an action research study","Big data analytics (BDA) projects are expected to provide organizations with several benefits once the project closes. Nevertheless, many BDA projects are unsuccessful as benefits did not materialize as expected. Organization can manage the expected benefits by measuring these, yet very few organizations actually measure on benefits post project development, and little has been written about BDA benefits measurements that extends beyond those typically identified in the project business case. This study examines how we should establish measures for BDA benefits in the context of a large wind turbine manufacturer investing in BDA to improve their practices when defining BDA benefits measures. We present lessons learned from our action research, that were found useful in establishing BDA benefit measurements. There are three lessons on (1) change, (2) specification of who, and (3) explicitness in establishing a useful BDA benefit measure. We contribute to BDA benefits realization in proposing the lessons to establish BDA benefits measurements. Finally, we discuss the lessons and contributions related to research on BDA value creation and benefits management.","M. Jensen; John Stouby Persson; P. Nielsen","2023","Information Systems and E-Business Management","10.1007/s10257-022-00620-0","9","true","https://doi.org/10.1007/s10257-022-00620-0","Context (archaeology); Business; Action (physics); Analytics; Big data; Action research; Process management; Knowledge management; Computer science; Data science","en","-","Include"
"Clinical research from information systems practice","ABSTRACT An increasing presence of practitioners with doctoral degrees in Information Systems and related disciplines holds promise to advance Information Systems research. The prospect is to gain more knowledge from the practical experience of developing, using, and managing information systems in context. To scientifically capitalise on this opportunity, this EJIS special issue introduces the research genre of “Information Systems Clinical Research”. The genre presents knowledge generated from practitioner-researcher interventions to achieve desired outcomes in information systems development, use, and management practice contexts. In this editorial, we introduce and conceptualise the genre; we present a research framework that defines its four key elements; and we discuss how to address its key challenges in research projects. As a result, we derive ten criteria for rigorous Information Systems Clinical Research and provide examples on how the articles published in the special issue have addressed these criteria. We conclude with a call to further advance clinical research as an important part of the Information Systems discipline.","R. Baskerville; J. Brocke; L. Mathiassen; H. Scheepers","2023","European Journal of Information Systems","10.1080/0960085x.2022.2126030","19","-","https://doi.org/10.1080/0960085x.2022.2126030","","-","-","Include"
"Building data management capabilities to address data protection regulations: Learnings from EU-GDPR","The European Union’s General Data Protection Regulation (EU-GDPR) has initiated a paradigm shift in data protection toward greater choice and sovereignty for individuals and more accountability for organizations. Its strict rules have inspired data protection regulations in other parts of the world. However, many organizations are facing difficulty complying with the EU-GDPR: these new types of data protection regulations cannot be addressed by an adaptation of contractual frameworks, but require a fundamental reconceptualization of how companies store and process personal data on an enterprise-wide level. In this paper, we introduce the resource-based view as a theoretical lens to explain the lengthy trajectories towards compliance and argue that these regulations require companies to build dedicated, enterprise-wide data management capabilities. Following a design science research approach, we propose a theoretically and empirically grounded capability model for the EU-GDPR that integrates the interpretation of legal texts, findings from EU-GDPR-related publications, and practical insights from focus groups with experts from 22 companies and four EU-GDPR projects. Our study advances interdisciplinary research at the intersection between IS and law: First, the proposed capability model adds to the regulatory compliance management literature by connecting abstract compliance requirements to three groups of capabilities and the resources required for their implementation, and second, it provides an enterprise-wide perspective that integrates and extends the fragmented body of research on EU-GDPR. Practitioners may use the capability model to assess their current status and set up systematic approaches toward compliance with an increasing number of data protection regulations.","Clément Labadie; Christine Legner","2022","Journal of Information and Technology","10.1177/02683962221141456","39","-","https://doi.org/10.1177/02683962221141456","","-","-","Include"
"Resource Optimisation in Cloud Computing: Comparative Study of Algorithms Applied to Recommendations in a Big Data Analysis Architecture","Recommender systems (RS) have emerged as a means of providing relevant content to users, whether in social networking, health, education, or elections. Furthermore, with the rapid development of cloud computing, Big Data, and the Internet of Things (IoT), the component of all this is that elections are controlled by open and accountable, neutral, and autonomous election management bodies. The use of technology in voting procedures can make them faster, more efficient, and less susceptible to security breaches. Technology can ensure the security of every vote, better and faster automatic counting and tallying, and much greater accuracy. The election data were combined by different websites and applications. In addition, it was interpreted using many recommendation algorithms such as Machine Learning Algorithms, Vector Representation Algorithms, Latent Factor Model Algorithms, and Neighbourhood Methods and shared with the election management bodies to provide appropriate recommendations. In this paper, we conduct a comparative study of the algorithms applied in the recommendations of Big data architectures. The results show us that the K-NN model works best with an accuracy of 96%. In addition, we provided the best recommendation system is the hybrid recommendation combined by content-based filtering and collaborative filtering uses similarities between users and items.","Aristide Ndayikengurukiye; Abderrahmane Ez-Zahout; Akou Aboubakr; Youssef Charkaoui; Omary Fouzia","2022","Journal of Automation, Mobile Robotics & Intelligent Systems","10.14313/jamris/4-2021/28","7","-","https://doi.org/10.14313/jamris/4-2021/28","","-","-","Include"
"Predicting coauthorship using bibliographic network embedding","Coauthorship prediction applies predictive analytics to bibliographic data to predict authors who are highly likely to be coauthors. In this study, we propose an approach for coauthorship prediction based on bibliographic network embedding through a graph‐based bibliographic data model that can be used to model common bibliographic data, including papers, terms, sources, authors, departments, research interests, universities, and countries. A real‐world dataset released by AMiner that includes more than 2 million papers, 8 million citations, and 1.7 million authors were integrated into a large bibliographic network using the proposed bibliographic data model. Translation‐based methods were applied to the entities and relationships to generate their low‐dimensional embeddings while preserving their connectivity information in the original bibliographic network. We applied machine learning algorithms to embeddings that represent the coauthorship relationships of the two authors and achieved high prediction results. The reference model, which is the combination of a network embedding size of 100, the most basic translation‐based method, and a gradient boosting method achieved an F1 score of 0.9 and even higher scores are obtainable with different embedding sizes and more advanced embedding methods. Thus, the strengths of the proposed approach lie in its customizable components under a unified framework.","Yongjun Zhu; L. Quan; Pei-Ying Chen; Meen Chul Kim; Chao Che","2022","J. Assoc. Inf. Sci. Technol.","10.1002/asi.24711","5","-","https://doi.org/10.1002/asi.24711","","-","-","Include"
"Action design research: integration of method support","PurposeAction design research (ADR) has become widely accepted as a prominent research method within information systems when managing design-oriented research projects. One purpose of the ADR method is to provide methodological guidance for the building of IT artefacts. However, several scholars have reported a lack of guidance of method support at the micro level. This article aims to complement the macro level of the ADR method by integrating prescriptive method support at the micro level.Design/methodology/approachA qualitative approach including direct content analysis. An empirical ADR project was analysed in order to identify method support that could be integrated into the ADR method.FindingsMethod support at the micro level was identified for all the stages of the ADR method. The method support consists of procedural support, guiding concepts, and various techniques for the documentation of project tasks stated in the ADR method.Research limitations/implicationsThe contribution to theory consists of aspects concerning the integration of macro and micro levels: relationships between normative and prescriptive support, continuous focus shifts, and method completeness.Practical implicationsThe contribution to practice consists of explicit suggestions for method support that could be integrated into the ADR method.Originality/valueThis study extends previously provided knowledge by offering empirical evidence concerning theoretical constructions consisting of explicit relationships between ADR tasks and integrated method support, and elaboration on the integration of macro and micro levels.","Stefan Cronholm; Hannes Göbel","2022","International Journal of Managing Projects in Business","10.1108/ijmpb-07-2021-0196","15","-","https://doi.org/10.1108/ijmpb-07-2021-0196","","-","-","Include"
"Industry–Academia Research Collaboration and Knowledge Co-creation: Patterns and Anti-patterns","Increasing the impact of software engineering research in the software industry and the society at large has long been a concern of high priority for the software engineering community. The problem of two cultures, research conducted in a vacuum (disconnected from the real world), or misaligned time horizons are just some of the many complex challenges standing in the way of successful industry–academia collaborations. This article reports on the experience of research collaboration and knowledge co-creation between industry and academia in software engineering as a way to bridge the research–practice collaboration gap. Our experience spans 14 years of collaboration between researchers in software engineering and the European and Norwegian software and IT industry. Using the participant observation and interview methods, we have collected and afterwards analyzed an extensive record of qualitative data. Drawing upon the findings made and the experience gained, we provide a set of 14 patterns and 14 anti-patterns for industry–academia collaborations, aimed to support other researchers and practitioners in establishing and running research collaboration projects in software engineering.","D. Marijan; Sagar Sen","2022","ACM Transactions on Software Engineering and Methodology","10.1145/3494519","31","-","https://doi.org/10.1145/3494519","","-","-","Include"
"Studio-centred coursework as a model for hybridized design education","Studio coursework that focuses on real-world problems and stakeholder collaboration is an integral component of interdisciplinary design education. In the wake of the COVID-19 pandemic and increased interest in flexible models of content delivery, we conceptualize the studio course as central to interdisciplinary undergraduate education. Leveraging the pandemic as an opportunity, we argue that changes to studio coursework have created new modalities for design education. By focusing on adaptive, iterative studio coursework during each year of the undergraduate degree, we allow for hybridization of undergraduate design coursework. We present an example of the studio-centred model in action at a large polytechnic university in the United States. Our results may be beneficial to educators and practitioners interested in anchoring undergraduate curricula within interdisciplinary studio work, and for ensuring that interdisciplinary studios are able to respond to the twenty-first-century life skills essential for producing competitive graduates on the global market. We present studio-centred coursework as a model for hybridizing design education. We emphasize collaboration and discovery as key skills to develop in undergraduates. We develop this model through: (1) collaborating with industry partners to determine problem spaces and mentor students; (2) building interdisciplinary teams of students and faculty and (3) hybridizing lecture-based disciplinary coursework. We anchor our results with three years of programme assessment data. By integrating faculty, students and industry partners within the studio-centred model, this study demonstrates how hybridized design-led education can equip students for interdisciplinary collaboration as they progress towards their career goals. Furthermore, we provide discussion on how these competencies are evaluated by stakeholders as desirable skills. Students’ overall positive responses to the studio-centred coursework are captured in our quantitative data. Stakeholder responses come via focus groups held once per semester. Using studio coursework to centre design curricula allows for increased hybridization of the curriculum, as students use studio courses and capstones to apply knowledge, develop projects and attain professional mentorship. Emphasis on societal impact guides students to emphasize the broader impacts of their designs. Using quantitative and qualitative data, we provide a model that integrates research and education in undergrad curricula using a studio-centred model.","Shahabedin Sagheb; Katie Walkup; Robert Smith","2022","Journal of Design, Business &amp; Society","10.1386/dbs_00048_1","1","-","https://doi.org/10.1386/dbs_00048_1","","-","-","Include"
"Making design research relevant for design practice: What is in the way?","Knowledge from academic design research projects does not always help design professionals to actually strengthen their work. Based on a multi-case study, this paper describes how researchers view the impact of their design research projects on design practice and what they do to achieve this. Even in projects where impact on design practice is a stated ambition, several challenges can stand in the way, such as a lack of funding opportunities and unclarity on the needs of design practice. The paper provides tips for researchers and funding parties who want to inform design practice by research, including tips to operationalize design practice roles.","Mariek Zielhuis; F. Sleeswijk Visser; D. Andriessen; P. Stappers","2022","Design Studies","10.1016/j.destud.2021.101063","18","true","https://doi.org/10.1016/j.destud.2021.101063","Operationalization; Research design; Engineering ethics; Work (physics); Engineering management; Strategic design; Knowledge management; Design elements and principles; Management science; Engineering","en","-","Include"
"A case study of industry–academia communication in a joint software engineering research project","Empirical software engineering research relies on good communication with industrial partners. Conducting joint research both requires and contributes to bridging the communication gap between industry and academia (IA) in software engineering. This study aims to explore communication between the two parties in such a setting. To better understand what facilitates good IA communication and what project outcomes such communication promotes, we performed a case study, in the context of a long‐term IA joint project, followed by a validating survey among practitioners and researchers with experience of working in similar settings. We identified five facilitators of IA communication and nine project outcomes related to this communication. The facilitators concern the relevance of the research, practitioners' attitude and involvement in research, frequency of communication and longevity of the collaboration. The project outcomes promoted by this communication include, for researchers, changes in teaching and new scientific venues, and for practitioners, increased awareness, changes to practice, and new tools and source code. Besides, both parties gain new knowledge and develop social‐networks through IA communication. Our study presents empirically based insights that can provide advise on how to improve communication in IA research projects and thus the co‐creation of software engineering knowledge that is anchored in both practice and research.","Sergio Rico; E. Bjarnason; Emelie Engström; Martin Höst; P. Runeson","2021","J. Softw. Evol. Process.","10.1002/smr.2372","8","-","https://doi.org/10.1002/smr.2372","","-","-","Include"
"Ambidexterity and Entrepreneurship Studies: A Literature Review and Research Agenda","Originated by an individual capacity, organizational ambidexterity represents how organizations do two different things equally well (i.e., efficiency and flexibility, adaptability and alignment, integration and responsiveness, or exploration and exploitation). The versatility of the ambidexterity concept allows using it to test multiple research questions from various perspectives. It explains that in the last decades, the research in organizational ambidexterity has been exponentially rising. The authors argued that the proliferation of papers represents a consolidation stage of any phenomenon. Therefore, in this development cycle, the two possibilities maybe its decline or re-focus along new lines. Although the publication pattern focused on strategic management journals, it does not mean that organizational ambidexterity is only observed in established and mature organizations' strategies. Several entrepreneurial organizations have been born (e.g., new ventures) or have rejuvenated (i.e., established ventures with an entrepreneurial orientation) by implementing and developing an organizational ambidexterity capacity. This study is motivated by the apparent unrepresentativeness of organizational ambidexterity in entrepreneurship studies. Therefore, (a) we look back to the past 15 years of published research by focusing on the contribution of organizational ambidexterity to the fields of management studies and entrepreneurship studies;and (b) we look forward to the research in organizational ambidexterity by inspiring the analysis of ambidexterity's role in the current scenarios (social, economic, technological, environmental) in management and entrepreneurship studies. Based on this review and analysis, we show the underrepresentation of entrepreneurship in the published ambidexterity literature until the last decade (the 2010s). Motivated by this insight, we provoke the discussion about how the concept of ambidexterity, characterized by managing a double tension simultaneously, is a potential ingredient in the entrepreneurial decision-making process of individuals, teams, organizations, and eco-systems agents. We encourage new research lines that help refresh the analysis of ambidexterity in the entrepreneurship field and re-thinking its contribution to the reconciliation process between management, innovation, and entrepreneurship fields. Furthermore, several implications to managers, entrepreneurial organizations, and entrepreneurs emerge from this study. Concretely, we encourage them to consider this approach as a way of thinking to face the current social, economic, and health problems that we are living in due to the COVID-19 pandemic effects.","Maribel Guerrero","2021","Foundations and Trends® in Entrepreneurship","10.1561/0300000097","31","false","https://doi.org/10.1561/0300000097","Ambidexterity; Entrepreneurship; Adaptability; Knowledge management; Consolidation (business); Flexibility (engineering); Business; Management; Economics; Computer science","en","-","Include"
